2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,437,115,475,145,0
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,474,115,526,146,0
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,525,116,576,147,0
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,467,164,515,198,1
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,517,166,581,197,1
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,582,168,627,203,1
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,492,203,589,240,2
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,592,205,624,233,2
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,569,237,619,262,3
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,489,239,565,262,3
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,624,241,645,263,3
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,635,265,689,295,4
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,483,268,515,295,4
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,563,270,591,294,4
2021-09-14T08:34:46.952562_cmsq_front_3482.jpg,178,437,250,459,5
