2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,452,119,495,148,0
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,494,120,548,149,0
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,548,120,602,149,0
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,423,161,546,200,1
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,547,164,627,197,1
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,627,164,711,199,1
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,512,201,593,231,2
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,593,202,622,228,2
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,623,236,716,268,3
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,461,237,537,269,3
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,539,237,622,271,3
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,640,266,696,293,4
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,488,268,518,294,4
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,575,269,601,293,4
2021-09-14T08:48:43.279097_cmsq_front_2126.jpg,211,442,286,463,5
